,Mean,Standard Deviation,Stage Number,Rank,Best Rank
0,45.357142857142854,42.67251899701985,14,1,2
1,44.785714285714285,42.54607346567881,14,2,1
2,48.07142857142857,44.19512624343853,14,3,1
3,52.785714285714285,37.348127838771575,14,4,1
4,58.142857142857146,43.376848899017126,14,5,1
5,42.285714285714285,44.63091268781021,14,6,2
6,56.642857142857146,36.943213455358254,14,7,1
7,68.78571428571429,38.34091170282838,14,8,2
8,46.714285714285715,44.50269425459955,14,9,3
9,53.785714285714285,41.51106319220141,14,10,2
10,91.28571428571429,21.375648933937395,14,11,36
11,49.214285714285715,39.95386369914424,14,12,3
12,41.785714285714285,43.72998084255007,14,13,4
13,74.57142857142857,36.0866304600358,14,14,15
14,86.57142857142857,28.205152228713427,14,15,2
15,85.14285714285714,33.20898575226106,14,16,4
16,50.92857142857143,43.46010368424008,14,17,6
17,73.0,37.84555078586801,14,18,4
18,69.78571428571429,36.5848887060307,14,19,5
19,100.0,0.0,14,20,100
20,67.78571428571429,38.80570387277139,14,21,7
21,77.42857142857143,37.32045453274401,14,22,6
22,73.64285714285714,37.74085914469347,14,23,6
23,53.07142857142857,41.585478725347464,14,24,6
24,40.0,45.34156087804149,14,1,1
25,42.92857142857143,44.277476192294245,14,2,2
26,41.857142857142854,44.36030584535996,14,3,1
27,42.642857142857146,44.03344044644956,14,4,1
28,42.785714285714285,43.76263665899186,14,5,2
29,51.357142857142854,43.56211844326795,14,6,1
30,44.714285714285715,42.50450156231955,14,7,2
31,52.214285714285715,38.472956311504554,14,8,1
32,46.785714285714285,46.12433285840191,14,9,4
33,63.285714285714285,43.441962221251615,14,10,2
34,81.28571428571429,36.33461272165499,14,11,3
35,68.5,37.754375337738765,14,12,3
36,46.357142857142854,41.54104191357393,14,13,5
37,100.0,0.0,14,14,100
38,47.357142857142854,40.400861275927454,14,15,5
39,75.07142857142857,34.693482890912534,14,16,11
40,53.285714285714285,36.98924278263416,14,17,9
41,50.42857142857143,38.94449215727116,14,18,6
42,100.0,0.0,14,19,100
43,100.0,0.0,14,20,100
44,35.0,42.14261501141095,14,1,1
45,38.5,41.33789337365208,14,2,1
46,32.07142857142857,43.04891617304052,14,3,1
47,31.928571428571427,43.24591522529578,14,4,2
48,39.785714285714285,40.488408520091234,14,5,1
49,39.42857142857143,40.21853568001821,14,6,1
50,40.285714285714285,40.911801600566086,14,7,2
51,40.642857142857146,39.56117711461424,14,8,2
52,42.642857142857146,39.02857404308713,14,9,3
53,69.92857142857143,40.83322226834819,14,10,5
54,56.0,40.90406895582464,14,11,2
55,45.142857142857146,37.40484526073583,14,12,5
56,43.214285714285715,37.76653577560161,14,13,6
57,45.357142857142854,36.84059706134979,14,14,8
